DATE,GDPPOT
2015-04-01,18963.0
2015-07-01,19056.8
2015-10-01,19151.0
2016-01-01,19245.2
2016-04-01,19339.7
2016-07-01,19434.1
2016-10-01,19528.1
2017-01-01,19622.2
2017-04-01,19717.1
2017-07-01,19814.5
2017-10-01,19914.3
2018-01-01,20016.5
2018-04-01,20121.7
2018-07-01,20228.1
2018-10-01,20335.1
2019-01-01,20443.0
2019-04-01,20551.1
2019-07-01,20659.0
2019-10-01,20764.0
2020-01-01,20867.3
2020-04-01,20970.4
2020-07-01,21071.8
2020-10-01,21174.3
2021-01-01,21277.7
2021-04-01,21382.9
2021-07-01,21493.0
2021-10-01,21606.1
2022-01-01,21722.0
2022-04-01,21840.6
2022-07-01,21961.5
2022-10-01,22084.9
2023-01-01,22208.2
2023-04-01,22333.1
2023-07-01,22459.7
2023-10-01,22588.2
2024-01-01,22718.1
2024-04-01,22849.9
2024-07-01,22981.3
2024-10-01,23113.3
