id,age,year,female,married,educ,empl,income,rent,equity,finassets,liqassets,houses,business,vehicles,assets,mortages,debt,networth,owner,weight
46,85,1989,1,0,1,3,14431.3,0,0,1152.8,1152.8,6916.8,0,0,8069.5,0,0,8069.5,1,29209.28
47,43,1989,0,1,2,1,134692.1,0,0,10123.8,5397.4,115279.2,0,62250.79031,187653.9,85306.6,131418.3,56235.5,1,25039.62
48,28,1989,0,1,4,1,96208.7,0,1844.5,26099.2,11574,122196,0,13833.50896,162128.7,112973.7,147557.4,14571.3,1,55118.3
49,50,1989,0,1,2,1,137097.4,0,0,31540.4,3181.7,230558.5,0,89687.24974,351786.1,48417.3,114172.6,237613.6,1,34627.98
50,64,1989,1,0,4,3,60130.4,0,28819.8,159085.4,39194.9,219030.6,0,18444.67861,396560.6,0,0,396560.6,1,42767.26
51,44,1989,0,1,2,2,141907.8,0,11527.9,37696.3,6916.8,184446.8,0,4957.007376,257072.7,133723.9,135798.9,121273.8,1,54233.41
52,75,1989,0,0,4,2,33673,461.1169652,11527.9,55564.6,16369.7,0,0,0,55564.6,0,0,55564.6,0,45827.54
53,34,1989,1,0,2,1,93803.5,945.2897787,11527.9,50838.1,25476.7,0,0,6916.754478,57754.9,0,0,57754.9,0,48858.27
54,29,1989,1,0,3,1,31267.8,1152.792413,0,1152.8,1152.8,0,0,9222.339305,10375.1,0,11620.1,-1245,0,57130.43
55,55,1989,0,0,1,1,67346.1,645.5637513,0,20104.7,20058.6,0,0,23055.84826,43160.5,0,11597.1,31563.5,0,42238.9
56,36,1989,1,0,3,1,62535.6,1152.792413,276.7,3850.3,3573.7,0,0,0,3850.3,0,6916.8,-3066.4,0,34011.81
57,42,1989,0,1,2,1,93803.5,0,23517,51299.3,4265.3,161390.9,0,16139.09378,228829.3,62250.8,62250.8,166578.5,1,31044.71
58,38,1989,0,1,3,1,218874.7,0,111820.9,221336.1,34583.8,380421.5,0,48417.28135,707808.8,230558.5,278975.8,428833,1,41336.52
59,23,1989,0,0,3,4,28862.6,1152.792413,11527.9,12680.7,1152.8,0,0,25361.43309,38042.1,0,1383.4,36658.8,0,73453.91
60,46,1989,1,0,2,1,55320,461.1169652,0,1152.8,1152.8,0,0,6916.754478,42653.3,0,42422.8,230.6,0,35292.15
61,34,1989,0,1,2,2,67346.1,0,6916.8,32969.9,4841.7,103751.3,138335.1,2305.584826,277361.9,32278.2,39194.9,238166.9,1,40311.01
62,33,1989,0,1,1,1,33673,0,0,0,0,115279.2,0,16139.09378,131418.3,85306.6,85721.6,45696.7,1,63132.07
63,46,1989,0,1,2,1,110640,0,0,251331.8,11527.9,299726,0,16139.09378,567196.9,0,0,567196.9,1,32007.98
64,54,1989,0,1,2,1,79372.2,0,46111.7,161736.8,7262.6,265142.3,0,33546.25922,460425.3,69167.5,85306.6,375118.7,1,40477.28
65,39,1989,0,1,2,1,134692.1,0,0,24669.8,19136.4,415005.3,0,36727.96628,476403,103751.3,135453.1,340949.9,1,44427.8
66,61,1989,0,1,2,2,64940.9,0,0,468033.7,184446.8,103751.3,345837.7,27667.01791,979873.6,0,0,979873.6,1,24306.57
67,41,1989,0,1,4,1,93803.5,0,11527.9,140871.2,7147.3,922233.9,657091.7,71473.12961,1791670,92223.4,147557.4,1644112.5,1,30003.34
68,54,1989,0,1,4,1,74561.7,0,373504.7,425126.8,30871.8,576396.2,0,53028.451,1068385,23055.8,45258.6,1023126.3,1,32964.86
69,46,1989,0,1,4,1,601304.2,2305.584826,288198.1,1077399.8,443364,0,2536143.3,55795.15279,3995578.5,0,0,3995578.5,0,96.19724
70,52,1989,0,1,1,2,281410.4,0,36889.4,184331.5,39079.7,115279.2,1890579.6,20750.26344,2363109.2,27667,83139.4,2279969.8,1,9773.202
71,36,1989,0,0,4,1,72156.5,2075.026344,0,6916.8,6916.8,0,0,2305.584826,9222.3,0,115855.6,-106633.3,0,48214.98
72,23,1989,0,1,2,1,72156.5,1037.513172,0,14018,4611.2,0,0,2305.584826,16323.5,0,1383.4,14940.2,0,58514.22
73,46,1989,0,1,4,2,16836.5,0,76084.3,225255.6,123809.9,507228.7,-23055.8,46111.69652,2332560.2,308948.4,534895.7,1797664.5,1,11613.87
74,51,1989,0,1,4,2,144313,0,2153416.2,3938400,154474.2,634035.8,0,5740.906217,4587399.1,0,0,4587399.1,1,438.2393
75,57,1989,0,1,3,1,101019.1,0,0,168077.1,17291.9,230558.5,0,25361.43309,430913.8,50722.9,69467.3,361446.5,1,39749.41
76,44,1989,0,1,3,2,98613.9,576.3962065,0,57801,9383.7,0,172918.9,34583.77239,282595.5,0,6916.8,275678.8,0,26576.28
77,62,1989,0,1,4,2,187606.9,0,25361.4,74470.4,26053.1,426533.2,0,36013.23498,690338.2,20750.3,92684.5,597653.7,1,29376.32
78,35,1989,0,1,4,1,481043.3,0,472644.9,735481.6,136029.5,922233.9,0,0,2337863,415005.3,541812.4,1796050.6,1,33.90174
79,47,1989,0,1,4,1,216469.5,0,396560.6,543656.9,135568.4,634035.8,0,55334.03583,1624976.2,219030.6,315865.1,1309111.1,1,226.4099
80,58,1989,0,1,2,2,120260.8,0,115279.2,176469.5,51967.9,2766701.8,7380177,2132665.964,12456014.2,3919494.2,7274120.1,5181894.1,1,4354.366
81,44,1989,0,0,4,1,177986,0,70320.3,546262.2,32116.8,48417.3,0,461.1169652,595140.6,0,0,595140.6,1,53559.17
82,30,1989,0,0,3,1,31267.8,461.1169652,0,20750.3,20750.3,0,0,18444.67861,39194.9,0,16830.8,22364.2,0,45160.27
83,53,1989,1,0,2,4,12026.1,391.9494204,0,0,0,0,0,4611.169652,4611.2,0,0,4611.2,0,49867.93
84,49,1989,0,1,2,1,141907.8,0,53028.5,72441.5,11919.9,103751.3,0,53028.451,229221.2,0,10398.2,218823.1,1,1297.891
85,33,1989,0,1,4,1,1481613.5,0,126807.2,530860.9,115855.6,2766701.8,4359860.9,223641.7281,8928377.2,1383350.9,2352849.3,6575527.9,1,1558.433
86,54,1989,1,0,2,1,19241.7,0,0,8069.5,8069.5,115279.2,0,2305.584826,125654.4,0,691.7,124962.7,1,4687.511
87,38,1989,0,1,4,1,76966.9,0,0,38733.8,4150.1,149863,0,20750.26344,209347.1,0,5279.8,204067.3,1,25308.56
88,61,1989,0,1,2,2,240521.7,0,212113.8,1487102.2,391949.4,345837.7,1498630.1,0,3331570.1,0,25361.4,3306208.6,1,52383.17
89,79,1989,0,1,3,3,1202608.4,0,0,13211001.1,461117,2305584.8,0,164157.6396,15911302,0,0,15911302,1,990.0856
90,34,1989,0,1,4,1,62535.6,1245.015806,0,6225.1,6225.1,0,0,4611.169652,10836.2,0,1175.8,9660.4,0,56410.38
91,80,1989,1,0,3,3,31267.8,0,46111.7,152168.6,50722.9,691675.4,0,13833.50896,880733.4,0,0,880733.4,1,20279.84
92,27,1989,0,1,2,1,40888.7,1152.792413,0,9222.3,9222.3,0,0,36889.35722,46111.7,0,4034.8,42076.9,0,61535.82
93,35,1989,0,1,2,1,28862.6,991.4014752,0,0,0,0,0,0,0,0,0,0,0,46782.41
94,90,1989,0,1,4,3,432939,0,1556269.8,3135019,20750.3,126807.2,0,6916.754478,3291798.7,0,0,3291798.7,1,5535.281
95,35,1989,0,1,3,2,230900.8,0,11527.9,59253.5,3919.5,415005.3,0,101445.7323,575704.5,262836.7,307565,268139.5,1,1432.269
96,50,1989,0,1,2,1,144313,0,599452.1,635073.3,5648.7,112973.7,0,29972.60274,932493.8,11527.9,11527.9,920965.9,1,23740.07
97,31,1989,1,0,2,1,9620.9,345.8377239,0,2766.7,1152.8,0,0,4265.331928,8415.4,0,1175.8,7239.5,0,21883.03
98,43,1989,0,1,4,2,481043.3,0,57639.6,2554588,191363.5,6916754.5,90187561.6,57639.62065,171328008.4,2217972.6,2284834.6,169043173.9,1,113.9368
99,67,1989,0,0,4,3,613330.3,0,0,809260.3,18444.7,149863,0,39194.94204,2114986.3,110668.1,193669.1,1921317.2,1,12.63276
100,86,1989,1,0,1,3,9620.9,161.3909378,0,0,0,0,0,0,0,0,0,0,0,28752.85
101,64,1989,1,0,1,4,16836.5,0,0,2328.6,23.1,2305.6,0,6916.754478,104004.9,0,1982.8,102022.1,1,24065.66
102,56,1989,0,1,2,1,271789.5,0,101445.7,403477.3,29972.6,138335.1,0,48417.28135,733176,41500.5,41500.5,691675.4,1,13678.67
103,39,1989,0,1,3,1,36078.3,968.345627,0,1152.8,1152.8,0,62250.8,16139.09378,84153.8,0,1798.4,82355.5,0,37936.71
104,66,1989,0,0,1,3,7215.7,230.5584826,0,149863,0,0,0,0,149863,0,0,149863,0,44737.86
105,85,1989,1,0,1,3,9620.9,0,0,5187.6,4611.2,69167.5,0,830.0105374,75185.1,0,0,75185.1,1,42158.05
106,68,1989,0,1,4,1,288626,0,299726,373666.1,32116.8,1152792.4,0,73778.71444,2061354.2,0,161390.9,1899963.3,1,201.7029
107,79,1989,0,1,3,3,384834.7,0,760843,3360851,393563.3,428838.8,0,11527.92413,5189179.8,0,0,5189179.8,1,19240.15
108,41,1989,0,1,3,1,9084503.7,0,156779.8,2826647,1862912.5,3458377.2,94367586.9,1085930.453,103440524.3,0,1948795.6,101491728.8,1,60.24543
109,72,1989,0,1,3,3,5084628.2,0,6759974.7,23922748.2,11463367.8,922233.9,0,177530.0316,25022512.1,0,0,25022512.1,1,829.9258
110,62,1989,0,1,2,2,1082347.5,0,507228.7,3474516.3,765454.2,1383350.9,1383350.9,0,7991157,0,0,7991157,1,15131.48
